date,sensor_id,output_path,raw_acc_rows,acc_1s_rows,raw_hr_rows,hr_1s_rows,merged_rows,first_timestamp,last_timestamp
2026-06-01,V001,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V001_merged.csv,219940,4477,4476,4476,3783,2026-06-01 10:40:00,2026-06-01 11:43:02
2026-06-01,V002,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V002_merged.csv,471600,9334,9334,9206,3786,2026-06-01 10:40:00,2026-06-01 11:43:05
2026-06-01,V003,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V003_merged.csv,493260,9339,9336,9335,3795,2026-06-01 10:40:00,2026-06-01 11:43:14
2026-06-01,V004,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V004_merged.csv,489380,9340,9336,9336,3805,2026-06-01 10:40:00,2026-06-01 11:43:24
2026-06-01,V005,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V005_merged.csv,471400,9343,9338,9337,3816,2026-06-01 10:40:00,2026-06-01 11:43:35
2026-06-01,V006,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V006_merged.csv,486920,9344,9339,9143,3821,2026-06-01 10:40:00,2026-06-01 11:43:40
2026-06-01,V007,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V007_merged.csv,463420,9343,9341,9341,3829,2026-06-01 10:40:00,2026-06-01 11:43:48
2026-06-01,V008,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V008_merged.csv,460400,9345,9341,9341,3839,2026-06-01 10:40:00,2026-06-01 11:43:58
2026-06-01,V009,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V009_merged.csv,483420,9347,9343,9343,3853,2026-06-01 10:40:00,2026-06-01 11:44:12
2026-06-01,V010,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V010_merged.csv,466400,9348,9344,9343,3857,2026-06-01 10:40:00,2026-06-01 11:44:16
